trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
175,False,"{'a': 0.9, 'e': 0.005714285714285714}",25,14,20.886164722813657,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.9, 'e': 0.005681818181818182}",25,7,33.56780859048325,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.9, 'e': 0.005649717514124294}",25,16,18.94826834889873,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.9, 'e': 0.0056179775280898875}",30,13,34.76918634684974,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.9, 'e': 0.00558659217877095}",20,13,15.962494147997749,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.9, 'e': 0.005555555555555556}",30,18,21.974550880352975,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.9, 'e': 0.0055248618784530384}",20,3,29.530961239986798,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.9, 'e': 0.005494505494505495}",20,8,25.11362907395345,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.9, 'e': 0.00546448087431694}",30,24,11.246436400538013,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.9, 'e': 0.005434782608695652}",25,14,20.08295456606847,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.9, 'e': 0.005405405405405406}",20,0,34.23979610706657,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
186,False,"{'a': 0.9, 'e': 0.005376344086021506}",35,21,27.394239722834,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.9, 'e': 0.0053475935828877}",25,11,28.346683213705056,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.9, 'e': 0.005319148936170213}",20,6,25.293615327763384,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.9, 'e': 0.005291005291005291}",30,18,23.99953341751591,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.9, 'e': 0.005263157894736842}",20,11,16.930423286386382,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.9, 'e': 0.005235602094240838}",25,11,24.50458903605751,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.9, 'e': 0.005208333333333333}",25,19,11.375155371334717,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.9, 'e': 0.0051813471502590676}",30,13,29.272829618805115,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.9, 'e': 0.005154639175257732}",20,10,17.093414456376376,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.9, 'e': 0.005128205128205128}",20,10,18.925369142811913,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.9, 'e': 0.00510204081632653}",20,9,18.361104614822974,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
